Date,Open,Close,OC Return,OC Return Sq,RV Daily,RQ Daily,J Daily,FSI US,FSI Vol
2013-01-02,163.49,163.16,-0.0020205119379635337,4.082468491453155e-06,1.4185739041656998e-05,2.67585069829851e-10,6.504146966677349e-06,-1.128,-1.593
2013-01-03,162.48,161.23,-0.007723000296480861,5.9644733579443474e-05,4.715003698310109e-05,4.707823490087138e-09,2.5950073399218145e-05,-1.15,-1.632
2013-01-04,159.52,160.45,0.005813061342337636,3.379168216978024e-05,5.51395742723146e-05,2.451156922521136e-09,1.0626009815183364e-05,-1.168,-1.636
2013-01-07,159.35,159.44,0.0005646350411938309,3.188127297439591e-07,1.255803121408602e-05,1.2199868557530383e-10,0.0,-1.196,-1.694
2013-01-08,160.44,160.56,0.0007476635862306695,5.590008381753057e-07,1.2079076987995463e-05,9.086759046575897e-11,2.550495274879259e-06,-1.194,-1.764
2013-01-09,160.77,160.49,-0.0017431368418037944,3.0385260492537064e-06,9.922524331833982e-06,1.0013112754116481e-10,4.1895327703845194e-06,-1.176,-1.772
2013-01-10,161.61,162.0,0.002410309871831906,5.809593678250339e-06,2.4019787874574794e-05,9.123185282992677e-10,5.952483156091517e-06,-1.214,-1.741
2013-01-11,161.85,161.06,-0.004893014004854477,2.394158605170205e-05,9.08250008343767e-05,1.9147378664335833e-08,4.179619952575215e-05,-1.198,-1.676
2013-01-14,161.88,161.54,-0.0021025299935145845,4.420632373628439e-06,2.2763170224449484e-05,5.796798689917324e-10,8.827054404144957e-06,-1.21,-1.696
2013-01-15,162.8,162.54,-0.001598328243381284,2.5546531735903012e-06,1.3040899203332337e-05,1.8359281936911085e-10,3.3836146556169665e-06,-1.204,-1.671
2013-01-16,162.42,162.63,0.0012921090860918284,1.66954589036106e-06,8.147073623941355e-06,5.5859134525158203e-11,1.713823111953788e-07,-1.2,-1.669
2013-01-17,161.94,163.35,0.008669241789110823,7.515575319806542e-05,9.291307617111143e-05,2.4901329717387988e-08,5.999379132454399e-05,-1.163,-1.537
2013-01-18,163.95,163.08,-0.005320625339604483,2.8309054004441323e-05,1.0527043356615965e-05,8.207586080899443e-11,0.0,-1.182,-1.521
2013-01-22,163.48,163.67,0.001161546821715974,1.3491910190384806e-06,8.303601005024512e-06,5.168674889961091e-11,1.2711796983450072e-06,-1.244,-1.655
2013-01-23,163.92,163.22,-0.004279519889547485,1.8314290485032517e-05,5.638842247423673e-06,2.8968932009139905e-11,0.0,-1.273,-1.758
2013-01-24,161.98,161.42,-0.003463206924617591,1.1993802202719234e-05,2.4730565535493725e-05,5.857997440687461e-10,3.57891416878633e-06,-1.243,-1.676
2013-01-25,160.56,160.65,0.0005603810737846829,3.140269478560742e-07,6.400365044109422e-06,4.342954608365536e-11,1.8319566764328927e-06,-1.239,-1.552
2013-01-28,160.24,160.28,0.0002495944103810084,6.229736969344322e-08,7.601659277564415e-06,3.882935351585667e-11,0.0,-1.223,-1.436
2013-01-29,161.01,160.99,-0.00012422360264414218,1.5431503453889728e-08,4.9528805363761565e-06,3.5921801549540364e-11,7.600015309025523e-07,-1.268,-1.539
2013-01-30,162.68,162.19,-0.003016593539425679,9.099836582104747e-06,2.2259008399961487e-05,3.611238516920739e-10,0.0,-1.197,-1.38
2013-01-31,161.62,161.2,-0.002602070732773733,6.7707720983576315e-06,2.988768387706535e-05,1.5706943416692788e-09,1.4600348989933695e-05,-1.183,-1.426
2013-02-01,162.66,161.46,-0.0074046987717595976,5.4829563900498094e-05,3.615030852651058e-05,4.307134109411228e-09,2.6564869755936413e-05,-1.246,-1.471
2013-02-04,161.19,161.98,0.004889077412004034,2.390307794056806e-05,1.7912748235206193e-05,4.922630130068253e-10,1.0482944399958242e-05,-1.103,-1.3
2013-02-05,162.75,161.97,-0.00480414819037337,2.3079839835067728e-05,3.0497719691189462e-05,1.9487196908260994e-09,8.740325705907975e-06,-1.128,-1.296
2013-02-06,162.13,162.39,0.0016023669150183025,2.567579730345272e-06,3.0459650595406757e-06,8.367584669598126e-12,0.0,-1.129,-1.231
2013-02-07,161.23,161.84,0.003776275883841789,1.4260259550885086e-05,6.79601716314014e-05,1.2890124184588343e-08,4.564191524255735e-05,-1.132,-1.253
2013-02-08,161.46,161.57,0.0006810513218694898,4.6383090302017943e-07,9.069164148842177e-06,1.0069662151985253e-10,0.0,-1.169,-1.311
