Date,Open,Close,OC Return,OC Return Sq,RV Daily,RQ Daily,J Daily,FSI US,FSI Vol
2013-01-02,110.24,110.25,9.070706160708483e-05,8.227771025391483e-09,3.953460938189902e-08,1.994208809551803e-15,1.543073099819053e-08,-1.128,-1.593
2013-01-03,110.24,110.24,0.0,0.0,3.0932454662101066e-08,1.2694075525449324e-15,7.930705788982403e-09,-1.15,-1.632
2013-01-04,110.23,110.235,4.535867372015614e-05,2.0574092816515835e-09,3.0859646176162616e-08,1.430598229167212e-15,1.1469900002071135e-08,-1.168,-1.636
2013-01-07,110.23,110.23,0.0,0.0,4.8273056670168566e-08,2.3676246600198674e-15,7.458861194308987e-09,-1.196,-1.694
2013-01-08,110.22,110.23,9.072352013487879e-05,8.230757105663757e-09,3.305688634742226e-08,1.5901484451392348e-15,1.9195790308436977e-08,-1.194,-1.764
2013-01-09,110.22,110.24,0.0001814388102590798,3.292004186823036e-08,6.397984656287436e-08,3.3178886301144765e-15,1.1120227837850898e-08,-1.176,-1.772
2013-01-10,110.24,110.23,-9.071529012427843e-05,8.229263862332008e-09,6.231485540607047e-08,3.5141816082869254e-15,1.3445137260324273e-08,-1.214,-1.741
2013-01-11,110.23,110.2335,3.1751287630866175e-05,1.0081442662179954e-09,5.384939734051595e-08,3.042145867409345e-15,1.4085294747710285e-08,-1.198,-1.676
2013-01-14,110.24,110.23,-9.071529012427843e-05,8.229263862332008e-09,3.909126216157621e-08,1.6810228687139373e-15,7.958880699438052e-11,-1.21,-1.696
2013-01-15,110.23,110.2299,-9.071944603832792e-07,8.230017889501092e-13,1.0041539855214415e-07,5.9392577987829665e-15,0.0,-1.204,-1.671
2013-01-16,110.22,110.23,9.072352013487879e-05,8.230757105663757e-09,3.530991712964185e-08,1.932604660702812e-15,1.2535608325994885e-08,-1.2,-1.669
2013-01-17,110.22,110.22,0.0,0.0,1.1613931930910062e-07,7.434867630572695e-15,0.0,-1.163,-1.537
2013-01-18,110.22,110.225,4.5362788911966235e-05,2.0577826178716068e-09,2.756203555113802e-08,9.59311653989403e-16,6.990668172236023e-09,-1.182,-1.521
2013-01-22,110.23,110.22,-9.072352013480318e-05,8.230757105650039e-09,3.8400679539221744e-08,1.477895886340122e-15,4.286367510352992e-09,-1.244,-1.655
2013-01-23,110.23,110.22,-9.072352013480318e-05,8.230757105650039e-09,6.741012836681829e-08,3.7774459166876786e-15,1.278788607273581e-09,-1.273,-1.758
2013-01-24,110.22,110.22,0.0,0.0,2.7206211871918415e-08,1.3107173044334673e-15,1.142386617899454e-08,-1.243,-1.676
2013-01-25,110.22,110.23,9.072352013487879e-05,8.230757105663757e-09,2.5619183207162343e-08,9.142521784155626e-16,4.458632856806889e-09,-1.239,-1.552
2013-01-28,110.23,110.22,-9.072352013480318e-05,8.230757105650039e-09,4.2084110957114114e-08,2.2181140020657716e-15,7.673958711530327e-09,-1.223,-1.436
