Date,Open,Close,OC Return,OC Return Sq,RV Daily,RQ Daily,FSI US,FSI Vol
2013-01-02,145.11,146.08,0.006662341343656722,4.438679217939765e-05,4.2543807054614906e-05,7.606719481539307e-09,-1.128,-1.593
2013-01-03,145.99,145.77,-0.0015080891259672687,2.2743328118607207e-06,2.6240064160252672e-05,1.5670607696415232e-09,-1.15,-1.632
2013-01-04,145.97,146.4,0.002941480384724461,8.652306853718763e-06,2.2417291455022137e-05,6.147943678246205e-10,-1.168,-1.636
2013-01-07,145.85,145.97,0.0008224248287562118,6.763825989546842e-07,1.2486932548285023e-05,1.509134269487235e-10,-1.196,-1.694
2013-01-08,145.71,145.53,-0.001236094100528303,1.5279286253608743e-06,1.9219975104018547e-05,3.7372262000575797e-10,-1.194,-1.764
2013-01-09,145.86,145.95,0.0006168397440366843,3.8049126982324216e-07,9.099041806046549e-06,9.193270398561144e-11,-1.176,-1.772
2013-01-10,146.73,147.06,0.002246503548700711,5.046778194324888e-06,1.3481903197880226e-05,1.829144666837555e-10,-1.214,-1.741
2013-01-11,147.04,147.11,0.00047594765474361626,2.2652617005594855e-07,1.0591810173148068e-05,9.221979308926519e-11,-1.198,-1.676
2013-01-14,146.89,146.96,0.000476433563546923,2.2698894047401993e-07,1.2432444183608684e-05,1.3532999817366029e-10,-1.21,-1.696
2013-01-15,146.29,147.04,0.005113705617382105,2.6149985141245296e-05,9.214451662087537e-06,6.85703451763746e-11,-1.204,-1.671
2013-01-16,146.77,147.04,0.0018379229842695177,3.3779608961061698e-06,8.22004258644988e-06,5.4530152038569754e-11,-1.2,-1.669
2013-01-17,147.7,147.93,0.001555999366810547,2.421134029514823e-06,1.3076439933952989e-05,2.1412014146324113e-10,-1.163,-1.537
2013-01-18,147.98,148.34,0.0024298068110072215,5.9039611388170835e-06,1.1989503503708004e-05,1.9603610983767614e-10,-1.182,-1.521
2013-01-22,148.34,149.09,0.005043214131895781,2.5434008780153312e-05,1.195803548951587e-05,1.1330755928885079e-10,-1.244,-1.655
2013-01-23,149.13,149.36,0.0015410904587763927,2.3749598021316325e-06,6.8153464753446915e-06,4.7639807355293306e-11,-1.273,-1.758
2013-01-24,149.15,149.39,0.0016078250934682152,2.5851015311860747e-06,2.8269807154106522e-05,9.671908680681432e-10,-1.243,-1.676
2013-01-25,149.88,150.2,0.0021327654045477816,4.5486882708358625e-06,2.820906489315191e-05,1.2770005164843642e-09,-1.239,-1.552
2013-01-28,150.29,150.04,-0.001664835732316329,2.7716780155972476e-06,1.3806397016929221e-05,2.897774836995645e-10,-1.223,-1.436
2013-01-29,149.77,150.67,0.005991230808892639,3.589484660542434e-05,1.7143108772459093e-05,4.855922758069866e-10,-1.268,-1.539
2013-01-30,150.65,150.11,-0.003590906904225456,1.2894612394814047e-05,1.9524385163446806e-05,3.8672099376754356e-10,-1.197,-1.38
2013-01-31,149.89,149.82,-0.0004671182227674612,2.181994340414315e-07,1.7358802542000336e-05,5.376855523379434e-10,-1.183,-1.426
2013-02-01,150.65,151.22,0.0037764645538135378,1.4261684526210083e-05,1.5959034182050725e-05,6.101146126045228e-10,-1.246,-1.471
2013-02-04,150.32,149.55,-0.0051355700292527555,2.637407952535915e-05,1.965770352767252e-05,3.2753060063419187e-10,-1.103,-1.3
2013-02-05,150.35,151.06,0.004711199450763986,2.2195400264878886e-05,1.1893151626309569e-05,1.465116698213142e-10,-1.128,-1.296
2013-02-06,150.5,151.16,0.004375794292357682,1.914757568903007e-05,1.682774010946248e-05,2.5997098097989093e-10,-1.129,-1.231
2013-02-07,151.205,150.96,-0.001621630921446457,2.6296868453912856e-06,2.7975219714181706e-05,7.768005475752403e-10,-1.132,-1.253
2013-02-08,151.22,151.78,0.0036963738456430484,1.3663179606753979e-05,1.0098288918622315e-05,2.2618751692833336e-10,-1.169,-1.311
2013-02-11,151.75,151.75,0.0,0.0,9.406558420213978e-06,8.230746930941808e-11,-1.168,-1.302
2013-02-12,151.78,152.01,0.0015142041801611999,2.2928142992176517e-06,6.691310643690073e-06,5.243596389266253e-11,-1.201,-1.321
2013-02-13,152.33,152.16,-0.0011166213515295992,1.2468432426917888e-06,1.5918419099939383e-05,3.7392677336148753e-10,-1.233,-1.343
2013-02-14,151.69,152.3,0.004013295297535311,1.6106539145219038e-05,7.588436751815521e-06,6.175687290595135e-11,-1.241,-1.387
2013-02-15,152.44,152.15,-0.001904199662679316,3.625976355348021e-06,2.067630657475553e-05,4.831098797630928e-10,-1.241,-1.375
2013-02-19,152.37,153.22,0.005563023607411465,3.094723165661727e-05,1.29178635500595e-05,2.371182721087495e-10,-1.306,-1.386
2013-02-20,153.14,151.32,-0.011955735920148884,0.0001429396213923383,2.2843649054569535e-05,7.861915388480028e-10,-1.192,-1.264
2013-02-21,150.96,150.4,-0.0037164895445553343,1.3812294534789117e-05,3.8227129885937006e-05,1.2678034349951335e-09,-1.131,-1.15
