Date,Open,Close,OC Return,OC Return Sq,RV Daily,RQ Daily,J Daily,FSI US,FSI Vol
2013-01-02,34.04,34.04,0.0,0.0,0.0,0.0,0.0,-1.128,-1.593
2013-01-03,33.85,33.85,0.0,0.0,0.0,0.0,0.0,-1.15,-1.632
2013-01-04,33.7,33.7,0.0,0.0,0.0,0.0,0.0,-1.168,-1.636
2013-01-07,33.74,33.74,0.0,0.0,0.0,0.0,0.0,-1.196,-1.694
2013-01-08,34.01,34.01,0.0,0.0,0.0,0.0,0.0,-1.194,-1.764
2013-01-09,33.95,33.95,0.0,0.0,0.0,0.0,0.0,-1.176,-1.772
2013-01-10,34.28,34.28,0.0,0.0,0.0,0.0,0.0,-1.214,-1.741
2013-01-11,33.87,33.87,0.0,0.0,0.0,0.0,0.0,-1.198,-1.676
2013-01-14,34.12,34.12,0.0,0.0,0.0,0.0,0.0,-1.21,-1.696
2013-01-15,34.25,34.25,0.0,0.0,0.0,0.0,0.0,-1.204,-1.671
2013-01-16,34.04,34.04,0.0,0.0,0.0,0.0,0.0,-1.2,-1.669
2013-01-17,34.7,34.7,0.0,0.0,0.0,0.0,0.0,-1.163,-1.537
2013-01-18,34.7,34.7,0.0,0.0,0.0,0.0,0.0,-1.182,-1.521
2013-01-22,34.82,34.82,0.0,0.0,0.0,0.0,0.0,-1.244,-1.655
2013-01-23,34.92,34.92,0.0,0.0,0.0,0.0,0.0,-1.273,-1.758
2013-01-24,34.8,34.8,0.0,0.0,0.0,0.0,0.0,-1.243,-1.676
2013-01-25,34.87,34.87,0.0,0.0,0.0,0.0,0.0,-1.239,-1.552
2013-01-28,34.96,34.96,0.0,0.0,0.0,0.0,0.0,-1.223,-1.436
2013-01-29,35.18,35.28,0.002838491829178432,8.057035864312721e-06,8.057035864312721e-06,2.1638608972940474e-11,8.057035864312721e-06,-1.268,-1.539
2013-01-30,35.42,35.49,0.001974334303717608,3.8979959428360915e-06,3.8979959428360915e-06,5.064790790122209e-12,3.8979959428360915e-06,-1.197,-1.38
2013-01-31,35.16,35.16,0.0,0.0,0.0,0.0,0.0,-1.183,-1.426
